년도,월,일,요일,시각,사고등급,사망자수,중상자수,경상자수,부상자수,연령,성별,경력,음주,종별,용도,관련자2,사고형태,기상상태,일광상태,사고유형1,사고유형2,법규위반,도로종류,지점명,위도,경도,자치구,
2017,3,2,목요일,11,경상사고,0,0,1,0,29,남,15년이상,,승용,비사업용,이륜,진입회전사고,맑음,주간,차대차,정면충돌,신호위반,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2017,3,5,일요일,12,경상사고,0,0,2,0,61,남,15년이상,,승용,사업용,승용,진입회전사고,맑음,주간,차대차,측면직각충돌,안전거리미확보,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2017,3,27,월요일,23,경상사고,0,0,1,0,48,남,15년이상,0,승용,사업용,승용,일직선사고,맑음,심야,차대차,정면충돌,안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2017,4,21,금요일,1,중상사고,0,2,0,0,33,여,15년이상,0,승용,비사업용,승용,진입회전사고,맑음,심야,차대차,정면충돌,신호위반,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2017,4,30,일요일,8,경상사고,0,0,1,0,32,남,15년이상,0,승용,비사업용,승합,일직선사고,맑음,출퇴근,차대차,정면충돌,안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2017,4,22,토요일,14,중상사고,0,1,0,0,59,남,15년이상,,승용,사업용,이륜,진입회전사고,맑음,주간,차대차,측면직각충돌,신호위반,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2017,5,11,목요일,14,중상사고,0,1,0,0,46,남,데이터오류,,화물,비사업용,이륜,일직선사고,맑음,주간,차대차,추돌(진행중),안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2017,6,2,금요일,10,경상사고,0,0,1,0,44,여,15년이상,,승용,비사업용,승용,일직선사고,맑음,주간,차대차,추돌(진행중),안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2017,7,3,월요일,2,부상사고,0,0,0,1,55,남,15년이상,,승용,사업용,승용,진입회전사고,맑음,심야,차대차,측면직각충돌,교차로운행방법위반,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
2017,8,22,화요일,17,경상사고,0,0,1,0,49,여,15년이상,,승용,비사업용,승용,진입회전사고,맑음,주간,차대차,측면직각충돌,신호위반,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,
