표지일련번호,표지종별,X좌표,Y좌표,표지판 근거리 이미지1,표지판 근거리 이미지2,표지판 근거리 이미지3,표지판 근거리 이미지4,표지판 근거리 이미지5,표지판 원거리 이미지1,표지판 원거리 이미지2,데이터기준일자
WR(서울특별시 양천구)-[목동로3길]-하-7,3방향표지,188389.16,445733.57,,,,,,/2006-08-23/WRC0115계남길D/20.계남길-10-3.jpg,,2018-04-30
WR(서울특별시 도봉구)-[도봉로]-상-7,3방향표지,203697.47,462397.48,/2017-11-06/WRC0110도봉로U/wr-도봉로-상-7(근거리).jpg,,,,,/2017-11-06/WRC0110도봉로U/wr-도봉로-상-7(원거리).jpg,,2018-04-30
WR(서울특별시 양천구)-[목동동로8길]-하-1,2방향예고표지,188569,446003.28,/2006-08-23/WRC0115꿈나무길D/21.꿈나무길-01-2.jpg,,,,,/2006-08-23/WRC0115꿈나무길D/21.꿈나무길-01-1.jpg,,2018-04-30
WR(서울특별시 양천구)-[목동동로6길]-상-1,3방향예고표지,188144.06,445857.85,/2006-08-23/WRC0115단풍길U/22.단풍길-01-2.jpg,,,,,/2006-08-23/WRC0115단풍길U/22.단풍길-01-1.jpg,,2018-04-30
UR(서울특별시)-[도봉로]-상-7,3방향예고표지,203602.74,461995.14,/2009-10-16/URC0100도봉로U/dsc00785.jpg,,,,,/2009-10-16/URC0100도봉로U/도봉로 창5동749-13 원경.jpg,,2018-04-30
WR(서울특별시 양천구)-[목동동로6길]-하-2,2방향표지,188230.31,445706.22,/2006-08-23/WRC0115단풍길D/22.단풍길-03-2.jpg,,,,,/2006-08-23/WRC0115단풍길D/22.단풍길-03-1.jpg,,2018-04-30
WR(서울특별시 도봉구)-[도봉로]-하-9,3방향예고표지,203486.2,461804.28,/2006-08-23/WRC0110도봉로D/하15쌍문2동716-31(근경).jpg,,,,,/2006-08-23/WRC0110도봉로D/하15쌍문2동716-31(원경).jpg,,2018-04-30
WR(서울특별시 양천구)-[목동로25길]-상-1,2방향표지,187900.8,447297.21,/2006-08-23/WRC0115로데오거리U/23.로데오거리-01-2.jpg,,,,,/2006-08-23/WRC0115로데오거리U/23.로데오거리-01-1.jpg,,2018-04-30
WR(서울특별시 도봉구)-[도봉로]-하-10,3방향표지,203436.53,461622.12,/2018-01-12/WRC0110도봉로D/보건소교차로-1(1).jpg,,,,,/2018-01-12/WRC0110도봉로D/보건소교차로-2(1).jpg,,2018-04-30
WR(서울특별시 양천구)-[목동동로4길]-상-1,3방향예고표지,187835.19,445740.87,/2006-08-23/WRC0115산내들길U/24.산내들길-01-2.jpg,,,,,/2006-08-23/WRC0115산내들길U/24.산내들길-01-1.jpg,,2018-04-30
