지점번호,지점명칭,위도,경도,주소,도로명 주소,유입 방향,유출방향
A-02,사직로(사직터널),37.572298,126.962853,서울시 종로구 행촌동 1-186,,[사직로]독립문역->사직단,[사직로]사직단->독립문역
A-03,자하문로(자하문터널),37.588831,126.968548,서울시 종로구 청운동 24-6,,[자하문로]석파정->청운초등학교,[자하문로]청운초등학교->석파정
A-05,율곡로(안국역),37.576,126.984342,서울시 종로구 경운동 90-4,서울시 종로구 율곡로 46,[율곡로]안국역->안국동사거리,[율곡로]안국동사거리->안국역
A-06,창경궁로(서울여자대학교),37.582526,126.998011,서울시 종로구 명륜4가 197-5,,[창경궁로]성균관대입구->원남동사거리,[창경궁로]원남동사거리->성균관대입구
A-07,대학로(한국방송통신대학교),37.578188,127.002053,서울시 종로구 연건동 72-3,,[대학로]혜화동로터리->이화사거리,[대학로]이화사거리->혜화동로터리
A-08,종로(동묘앞역),37.573262,127.017112,서울시 종로구 숭인동 273,서울시 종로구 종로 358,[종로]신설동역->동묘앞역,[종로]동묘앞역->신설동역
A-14,새문안로(서울역사박물관),37.569776,126.971354,서울시 종로구 신문로2가 1-2,,[새문안로]서울역사박물관->광화문역,[새문안로]광화문역->서울역사박물관
A-15,종로(종로3가역),37.570216,126.990832,서울시 종로구 종로3가 137-3,서울시 종로구 종로 116-4,[종로]종로3가->종로2가,[종로]종로2가->종로3가
D-01,진흥로(구기터널),37.608686,126.955198,서울시 종로구 구기동 244-7,,[진흥로]구기터널동측->신영동삼거리,[진흥로]신영동삼거리->구기터널동측
D-02,평창문화로(북악터널),37.611547,126.979308,서울시 종로구 평창동 2-15,,[평창문화로]국민대학교앞->신영동삼거리,[평창문화로]신영동삼거리->국민대학교앞
