지점명,년도,월,일,시각
관철동14-1번지사거리,2017,7,13,9
관철동14-1번지사거리,2017,9,1,3
관철동14-1번지사거리,2017,11,24,1
관철동14-1번지사거리,2018,3,24,20
관철동14-1번지사거리,2018,7,28,18
관철동14-1번지사거리,2018,10,12,11
관철동14-1번지사거리,2019,2,21,1
관철동14-1번지사거리,2019,7,18,3
광하문우체국사거리,2017,1,15,3
광하문우체국사거리,2017,4,26,2
광하문우체국사거리,2017,5,8,21
광하문우체국사거리,2017,5,23,22
광하문우체국사거리,2017,8,29,13
광하문우체국사거리,2017,12,30,5
광하문우체국사거리,2017,12,21,12
광하문우체국사거리,2018,1,31,21
광하문우체국사거리,2018,1,28,22
광하문우체국사거리,2018,2,4,23
광하문우체국사거리,2018,4,24,18
광하문우체국사거리,2018,6,26,5
광하문우체국사거리,2018,6,23,9
광하문우체국사거리,2018,9,29,12
광하문우체국사거리,2018,9,17,15
광하문우체국사거리,2018,9,9,15
광하문우체국사거리,2018,10,5,10
광하문우체국사거리,2018,11,19,21
광하문우체국사거리,2018,11,8,23
광하문우체국사거리,2018,12,24,20
광하문우체국사거리,2019,4,20,14
광하문우체국사거리,2019,5,2,5
광하문우체국사거리,2019,5,4,13
광하문우체국사거리,2019,5,12,13
광하문우체국사거리,2019,7,18,1
광하문우체국사거리,2019,8,6,14
광하문우체국사거리,2019,9,13,11
광하문우체국사거리,2019,9,6,17
광하문우체국사거리,2019,10,3,19
광하문우체국사거리,2017,1,23,15
광하문우체국사거리,2017,2,25,19
광하문우체국사거리,2017,3,8,14
광하문우체국사거리,2017,4,14,2
광하문우체국사거리,2017,5,27,21
광하문우체국사거리,2017,6,23,13
광하문우체국사거리,2017,6,16,14
광하문우체국사거리,2017,7,2,23
광하문우체국사거리,2017,8,4,0
광하문우체국사거리,2017,8,15,2
광하문우체국사거리,2017,9,8,3
광하문우체국사거리,2017,11,3,18
광하문우체국사거리,2017,11,20,21
광하문우체국사거리,2017,12,13,2
광하문우체국사거리,2018,3,14,14
광하문우체국사거리,2018,4,29,2
광하문우체국사거리,2018,4,9,23
광하문우체국사거리,2018,5,7,3
광하문우체국사거리,2018,6,8,17
광하문우체국사거리,2018,7,26,14
광하문우체국사거리,2018,9,19,22
광하문우체국사거리,2018,9,29,23
광하문우체국사거리,2018,10,18,22
광하문우체국사거리,2018,12,28,5
광하문우체국사거리,2018,12,20,9
광하문우체국사거리,2018,12,7,15
광하문우체국사거리,2019,2,10,0
광하문우체국사거리,2019,3,24,3
광하문우체국사거리,2019,6,27,5
광하문우체국사거리,2019,6,11,23
광하문우체국사거리,2019,8,8,21
광하문우체국사거리,2019,9,9,1
광하문우체국사거리,2019,9,25,17
광하문우체국사거리,2019,9,15,18
광하문우체국사거리,2019,11,8,22
광화문앞삼거리,2017,2,4,23
광화문앞삼거리,2017,3,14,17
광화문앞삼거리,2017,6,27,0
광화문앞삼거리,2017,7,20,17
광화문앞삼거리,2017,8,28,23
광화문앞삼거리,2017,9,2,0
광화문앞삼거리,2017,9,13,17
광화문앞삼거리,2017,10,29,17
광화문앞삼거리,2017,11,17,19
광화문앞삼거리,2017,12,22,1
광화문앞삼거리,2017,12,23,1
광화문앞삼거리,2017,12,4,13
광화문앞삼거리,2018,1,20,18
광화문앞삼거리,2018,5,11,10
광화문앞삼거리,2018,5,21,15
광화문앞삼거리,2018,5,25,18
광화문앞삼거리,2018,6,1,16
광화문앞삼거리,2018,8,24,20
광화문앞삼거리,2018,8,18,22
광화문앞삼거리,2018,9,30,10
광화문앞삼거리,2019,1,28,9
광화문앞삼거리,2019,3,7,11
광화문앞삼거리,2019,4,12,23
광화문앞삼거리,2019,5,31,1
광화문앞삼거리,2019,5,24,6
광화문앞삼거리,2019,5,24,11
광화문앞삼거리,2019,6,25,7
광화문앞삼거리,2019,7,11,13
광화문앞삼거리,2019,7,21,16
광화문앞삼거리,2019,8,30,15
광화문앞삼거리,2019,9,21,7
광화문앞삼거리,2019,11,27,18
광화문앞삼거리,2019,11,18,19
광화문앞삼거리,2019,12,23,16
동대문성곽공원앞사거리,2017,4,19,16
동대문성곽공원앞사거리,2017,9,27,12
동대문성곽공원앞사거리,2018,6,27,23
동대문성곽공원앞사거리,2018,7,17,13
동대문성곽공원앞사거리,2018,10,13,8
동대문성곽공원앞사거리,2018,12,28,11
동대문성곽공원앞사거리,2019,1,9,11
동대문성곽공원앞사거리,2019,4,12,18
동대문성곽공원앞사거리,2019,6,2,0
동대문성곽공원앞사거리,2019,6,4,12
동대문성곽공원앞사거리,2019,10,29,23
동대문성곽공원앞사거리,2017,1,17,9
동대문성곽공원앞사거리,2017,1,26,16
동대문성곽공원앞사거리,2017,1,3,19
동대문성곽공원앞사거리,2017,2,16,1
동대문성곽공원앞사거리,2017,2,24,4
동대문성곽공원앞사거리,2017,2,20,12
