Column1,지점명,위도,경도
0,수서역사거리,37.4874685,127.1013245
1,신논현역 사거리,37.501817,127.0256065
2,성수대교 남단 사거리,37.5370472,127.0349351
3,을지병원 앞 사거리,37.5196803,127.0281326
4,신사역 오거리,37.5162873,127.0200228
5,청담사거리,37.5241801,127.0473251
6,역삼역 부근,37.50107,127.03706
7,양재전화국입구,37.485659,127.040742
8,하나저축은행 강남지점,37.4996619,127.0320322
9,학여울역 사거리,37.496683,127.070549
10,학동사거리,37.5230968,127.0391037
11,차병원 사거리,37.5072931,127.0338546
12,선릉역 사거리,37.5044881,127.0489644
13,차관아파트 사거리,37.5129871,127.053297
14,현대백화점 앞,35.8662831,128.5907443
15,도곡1동 아이파크 앞,37.4918784,127.0431042
16,포스코사거리,37.506962,127.057775
17,삼성제일빌딩 앞 사거리,37.5074045,127.0558803
18,구역삼세무서,37.4982663,127.0301053
19,차관아파트 사거리,37.5129871,127.053297
20,선릉역 부근 ,37.504487,127.048957
21,신논현역 사거리,37.501817,127.0256065
22,신사역 오거리,37.5162873,127.0200228
23,신논현역 부근 사거리,37.504724,127.02538
24,청담사거리,37.5241801,127.0473251
25,수서역사거리,37.4874685,127.1013245
26,역삼역 부근,37.50107,127.03706
27,수서역사거리,37.4874685,127.1013245
28,신논현역 사거리,37.501817,127.0256065
29,천호사거리,37.5386519,127.1234006
30,강동성심병원 앞 사거리,37.5363177,127.1352446
31,길동 사거리,37.534278,127.1375005
32,올림픽공원북2문,37.5206868,127.1214941
33,광진교 남단,37.544762,127.113096
34,생태공원앞,37.5384121,127.1525444
35,명일역 사거리,37.5508008,127.1437193
36,태영아파트 삼거리,37.295052,127.111924
37,천동초 입구 사거리,36.3157773,127.4457481
38,길동역 사거리,37.537776,127.140009
39,강동성심병원사거리,37.5363177,127.1352446
40,이마트사거리,37.4794109,126.8556457
41,천호동공원 사거리,37.545899,127.126146
42,천호시장 사거리,37.5404018,127.1278445
43,동신중 사거리,37.5367808,127.1343268
44,길동역 부근 사거리,37.537776,127.140009
45,생태공원앞,37.5384121,127.1525444
46,길동 사거리,37.534278,127.1375005
47,천호역 삼거리,37.5416815,127.1295161
48,강동성심병원 앞 사거리,37.5363177,127.1352446
49,동안교회 사거리,37.5925823,127.0561051
50,동신중 사거리,37.5367808,127.1343268
51,천호시장 사거리,37.5404018,127.1278445
52,천호사거리,37.5386519,127.1234006
53,길동 사거리,37.534278,127.1375005
54,길동 사거리,37.534278,127.1375005
55,명일역 사거리,37.5508008,127.1437193
56,성화의료재단 대한병원,37.6353804,127.0226767
57,삼양입구 사거리,37.617059,127.028658
58,수유역 사거리,37.6349103,127.0229092
59,강북구청 사거리,37.6388985,127.0284305
60,성화의료재단 대한병원,37.6353804,127.0226767
61,광산사거리,37.6431651,127.0222964
62,미아사거리,37.613251,127.030084
63,번동사거리,37.6354163,127.0339899
64,미아삼거리역 삼거리,37.613251,127.030084
65,개신대학원대학교 앞 사거리,37.6357875,127.0335876
66,삼양동 사거리,37.6194458,127.0210749
67,삼양시장 오거리,37.6250561,127.0179084
68,미아역 사거리,37.626453,127.026119
69,삼양입구 사거리,37.617059,127.028658
70,수유3동우체국 앞 삼거리,37.6412122,127.0286597
71,선거관리위원회,36.6872443,126.8374252
72,강북구청 사거리,37.6388985,127.0284305
73,강북구청 사거리,37.6388985,127.0284305
74,미아역 사거리,37.626453,127.026119
75,미아삼거리역 삼거리,37.613251,127.030084
76,삼양입구 사거리,37.617059,127.028658
77,근린공원 사거리,37.4161317,126.7049726
78,수유역 사거리,37.6349103,127.0229092
79,광산사거리,37.6431651,127.0222964
80,성화의료재단 대한병원,37.6353804,127.0226767
81,성화의료재단 대한병원,37.6353804,127.0226767
82,수유사거리,37.6360827,127.0235464
83,성덕아파트 부근 사거리,36.5870924,128.1880471
84,번동사거리,37.6354163,127.0339899
85,삼양시장 오거리,37.6250561,127.0179084
86,강서구청입구,37.553168,126.849862
87,현대그린아파트 사거리,37.4887954,127.0392435
88,서울양동초 삼거리,37.526149,126.851122
89,마곡역 부근 사거리,37.5619185,126.826919
90,화곡역 앞 사거리,37.5416187,126.8403726
91,까치산역사거리,37.5317675,126.8467055
92,강서구청입구,37.553168,126.849862
93,개화사거리,37.578346,126.799927
94,우장산역 사거리,37.548783,126.836334
95,강서경찰서 부근 삼거리,35.1164478,128.9065202
96,등촌역 삼거리,37.5512414,126.8645132
97,서울신월초 삼거리,37.5399522,126.8390394
98,발산역 부근,37.558683,126.837595
99,김포공항입구 사거리,37.56026,126.802334
100,가양아파트사거리,37.5619,126.855886
101,강서그랜드아이파크 앞 사거리,37.5546451,126.8511767
102,서울화곡초 부근 삼거리,37.5430936,126.8461093
103,가양3-5단지,37.5636996,126.8545094
104,항목그라비스아파트,36.7926601,127.1621121
105,개화역 사거리,37.578464,126.796992
106,양천향교역 앞 사거리,37.56788,126.84097
107,서울우장초 삼거리,37.5487846,126.8462884
108,현대그린아파트 사거리,37.4887954,127.0392435
109,현대그린아파트 사거리,37.4887954,127.0392435
110,발산역 앞 사거리,37.5589256,126.8399461
111,성지중고 부근 사거리,36.4637825,127.1200695
112,김포공항입구 사거리,37.56026,126.802334
113,현대그린아파트 사거리,37.4887954,127.0392435
114,신림역사거리,37.4842107,126.9296988
115,서울대입구역 사거리,37.4804979,126.9527182
116,서림동주민센터 남쪽 사거리,37.47485,126.934991
117,난곡사거리,37.481794,126.9145059
118,당곡초 부근 삼거리,37.488823,126.92868
119,관악구청 앞 삼거리,37.4781285,126.9515024
120,디지털단지입구,37.486646,126.876714
121,낙성대역 4번 출구,37.477117,126.963418
122,미림여고입구,37.4714901,126.9339487
123,서울대입구역 사거리,37.4804979,126.9527182
124,서울미술고 삼거리,37.476492,126.965607
125,신대방역,37.487519,126.913282
126,국일빌딩 앞 삼거리,37.5594034,126.9262983
127,당곡지구대 교차로,37.488216,126.9313786
128,가야위드안 사거리,37.4864345,126.930166
129,까치고개교차로,37.4738365,126.9952854
130,관악센추리타워 앞,37.482476,126.941574
131,양지병원 앞 삼거리,37.4842166,126.9325109
132,미성아파트 사거리,37.5251822,127.0199989
133,현대시장입구교차로,37.4865718,126.9465582
134,당곡사거리,37.488823,126.92868
135,신림역사거리,37.4842107,126.9296988
136,신림역사거리,37.4842107,126.9296988
137,서울대입구역 사거리,37.4804979,126.9527182
138,당곡사거리,37.488823,126.92868
139,난곡사거리,37.481794,126.9145059
140,건대입구역,37.540372,127.069276
141,우편취급소 앞 사거리,37.5561443,126.8139581
142,성수사거리,37.542412,127.062693
143,군자역 사거리,37.5571211,127.0794877
144,혜민병원 남쪽 삼거리,37.5353375,127.083543
145,역어린이대공원역,37.547913,127.07461
146,구의사거리,37.5450671,127.0853208
147,화양사거리,37.5483164,127.0674613
148,광나루역,37.545339,127.103623
149,군자역 사거리,37.5571211,127.0794877
150,성수119안전센터 앞 사거리,37.537391,127.060085
151,건영아파트사거리,37.4827699,127.1264019
152,건대입구역 사거리,37.540372,127.069276
153,광장동청구아파트 앞,37.5424859,127.0962615
154,이마트 앞 삼거리,35.2965872,128.7610131
155,헤스티아 앞 사거리,37.821994,126.988723
156,동양파라곤 앞,37.5215874,127.0544198
157,어린이대공원 부근,37.549363,127.0818126
158,군자교교차로,37.5593985,127.0737382
159,아차산역 3번출구 앞 삼거리,37.552649,127.08924
160,대우1차아파트 앞 사거리,37.4124926,126.6679763
161,건대입구역교차로,37.540372,127.069276
162,삼성쉐르빌 앞 삼거리,37.272042,127.22133
163,KT서울북부마케팅단 앞,37.5371364,127.0887607
164,광진구청 사거리,37.5385333,127.0823772
165,건대입구역 앞,37.540372,127.069276
166,건대입구역교차로,37.540372,127.069276
167,자양사거리,37.5365404,127.0835712
168,성수사거리,37.542412,127.062693
169,건대입구역교차로,37.540372,127.069276
170,고척교사거리,37.5063741,126.8605154
171,디지털단지 오거리,37.4793494,126.889925
172,거리공원입구교차로,37.4991722,126.891875
173,개봉사거리,37.4973189,126.8564833
174,오류동역앞 삼거리,37.4944,126.844551
175,한일유앤아이앞교차로,37.4865032,126.87585
176,삼호아파트 앞 사거리,37.497359,126.987315
177,오류동삼거리,37.495353,126.840679
178,궁동삼거리,37.5063451,126.8291246
180,개봉1동사거리,37.5015682,126.8465397
181,남구로역 삼거리,37.486087,126.887272
182,구로소방석교차로,37.4977634,126.8651769
183,개봉고가차도 남측 진출입부,37.494347,126.8561779
184,경인중 삼거리,37.5383125,126.7225915
185,신도림역 삼거리,37.495338,126.840916
186,신도림sk뷰 삼거리,37.5069016,126.886619
187,디지털단지입구,37.486646,126.876714
188,대륭포스트타워5차 앞,37.4809568,126.8863566
189,구로구청 앞 사거리,37.4954703,126.8876391
190,오류동 삼거리,37.495353,126.840679
191,구로리어린이공원 사거리,37.4908203,126.8915912
192,신도림역 중앙버스 정류장 인근,37.5088099,126.8912061
193,한신휴아파트 사거리,37.495394,126.682946
194,구로역사거리,37.5031784,126.8820367
196,개봉고가차도 남측 진출입부,37.494347,126.8561779
197,기아대교 동단 삼거리,37.4386879,126.9007862
198,독산사거리,37.4713228,126.8981467
199,시흥사거리,37.4547138,126.9005358
200,금천우체국사거리,37.4701007,126.89848
