,Unnamed: 0,Unnamed: 0.1,년도,월,일,요일,시각,사고등급,사망자수,중상자수,경상자수,부상자수,연령,성별,경력,음주,종별,용도,관련자2,사고형태,기상상태,일광상태,사고유형1,사고유형2,법규위반,도로종류,지점명,위도,경도,자치구,Unnamed: 0.1.1,0,0.1,0.0,grade,class,target
0,0,0,2017,3,2,목요일,11,경상사고,0,0,1,0,29,남,15년이상,,승용,비사업용,이륜,진입회전사고,맑음,주간,차대차,정면충돌,신호위반,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,,,,,20~29,65세 미만 운전자,0
1,1,1,2017,3,5,일요일,12,경상사고,0,0,2,0,61,남,15년이상,,승용,사업용,승용,진입회전사고,맑음,주간,차대차,측면직각충돌,안전거리미확보,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,,,,,60~69,65세 미만 운전자,0
2,2,3,2017,4,21,금요일,1,중상사고,0,2,0,0,33,여,15년이상,0.0,승용,비사업용,승용,진입회전사고,맑음,심야,차대차,정면충돌,신호위반,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,,,,,30~39,65세 미만 운전자,0
3,3,6,2017,5,11,목요일,14,중상사고,0,1,0,0,46,남,데이터오류,,화물,비사업용,이륜,일직선사고,맑음,주간,차대차,추돌(진행중),안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,,,,,40~49,65세 미만 운전자,0
4,4,8,2017,7,3,월요일,2,부상사고,0,0,0,1,55,남,15년이상,,승용,사업용,승용,진입회전사고,맑음,심야,차대차,측면직각충돌,교차로운행방법위반,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,,,,,50~59,65세 미만 운전자,0
5,5,11,2017,12,27,수요일,20,중상사고,0,1,0,0,38,남,15년이상,0.0,승용,비사업용,승합,진입회전사고,맑음,출퇴근,차대차,추돌(진행중),신호위반,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,,,,,30~39,65세 미만 운전자,0
6,6,13,2018,3,29,목요일,6,부상사고,0,0,0,1,24,여,10년미만,,승용,비사업용,이륜,기타사고,맑음,새벽,차대차,차대차-기타,안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,,,,,20~29,65세 미만 운전자,0
7,7,14,2018,5,13,일요일,17,중상사고,0,2,0,0,38,남,15년이상,,승용,비사업용,이륜,일직선사고,맑음,주간,차대차,정면충돌,교차로운행방법위반,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,,,,,30~39,65세 미만 운전자,0
8,8,15,2018,7,23,월요일,7,부상사고,0,0,0,1,52,남,15년이상,,승용,비사업용,화물,일직선사고,맑음,출퇴근,차대차,추돌(진행중),안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,,,,,50~59,65세 미만 운전자,0
9,9,16,2018,7,16,월요일,11,경상사고,0,0,1,0,74,남,15년이상,,승용,사업용,승용,기타사고,맑음,주간,차대차,차대차-기타,안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,,,,,70~79,65세 이상 고령운전자,1
10,10,17,2018,7,25,수요일,23,경상사고,0,0,1,0,46,남,15년이상,,승용,비사업용,보행자,보행횡단사고,맑음,심야,차대사람,보도통행중,기타,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,,,,,40~49,65세 미만 운전자,0
11,11,22,2019,2,21,목요일,13,경상사고,0,0,1,0,55,남,15년이상,,승합,비사업용,이륜,진입회전사고,맑음,주간,차대차,측면직각충돌,안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,,,,,50~59,65세 미만 운전자,0
12,12,26,2019,5,28,화요일,16,경상사고,0,0,1,0,61,남,10년미만,,승용,비사업용,보행자,기타사고,맑음,주간,차대사람,차대사람-기타,안전운전불이행,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,,,,,60~69,65세 미만 운전자,0
13,13,27,2019,5,19,일요일,19,경상사고,0,0,1,0,58,남,10년미만,,승용,사업용,이륜,기타사고,비,출퇴근,차대차,차대차-기타,안전거리미확보,특별광역시도,구역삼세무서,37.4982663,127.0301053,강남구,,,,,50~59,65세 미만 운전자,0
